unix,date,symbol,open,high,low,close,Volume SOL,Volume UST
1652029200,2022-05-08 17:00:00,SOL/UST,77.642,77.642,73.69,75.338,3480.93636456,263073.2776108436
1652025600,2022-05-08 16:00:00,SOL/UST,77.458,78.408,77.346,77.699,321.78178402,25082.17207562319
1652022000,2022-05-08 15:00:00,SOL/UST,78.081,78.419,77.322,77.322,574.64544335,44733.5173589364
1652018400,2022-05-08 14:00:00,SOL/UST,77.642,78.682,77.332,78.078,894.12386966,69705.58266515243
1652014800,2022-05-08 13:00:00,SOL/UST,78.538,78.538,77.676,77.676,1043.7638,81570.6678614
1652011200,2022-05-08 12:00:00,SOL/UST,79.639,79.87,78.323,78.387,621.5051247,49156.31749721299
1652007600,2022-05-08 11:00:00,SOL/UST,79.444,79.775,79.355,79.639,338.8707511,26982.7117099667
1652004000,2022-05-08 10:00:00,SOL/UST,78.601,79.424,78.252,79.258,409.69054137,32357.00524281164
1652000400,2022-05-08 09:00:00,SOL/UST,78.964,78.964,78.377,78.517,410.99820828,32305.41202193924
1651996800,2022-05-08 08:00:00,SOL/UST,78.373,78.916,78.313,78.801,99.70690497,7842.56221862135
1651993200,2022-05-08 07:00:00,SOL/UST,78.667,78.876,78.311,78.595,124.54284691,9782.69844753724
1651989600,2022-05-08 06:00:00,SOL/UST,78.027,78.705,77.971,78.573,95.87790751,7511.26464925356
1651986000,2022-05-08 05:00:00,SOL/UST,77.49,78,77.397,77.906,235.26428218,18287.98067816358
1651982400,2022-05-08 04:00:00,SOL/UST,77.339,78.367,77.339,77.494,486.58271052,37860.40524608127
1651978800,2022-05-08 03:00:00,SOL/UST,77.528,77.632,75.741,77.211,1196.0857,92078.6633232
1651975200,2022-05-08 02:00:00,SOL/UST,78.401,78.433,76.702,77.52,2239.76054566,173479.81423692135
1651971600,2022-05-08 01:00:00,SOL/UST,79.187,79.41,78.31,78.31,1066.09977484,84137.2520129205
1651968000,2022-05-08 00:00:00,SOL/UST,79.329,80,78.974,78.974,1630.86819988,129556.98756459717
1651964400,2022-05-07 23:00:00,SOL/UST,78.75,80.321,78.652,79.325,821.85739915,65317.51274144418
1651960800,2022-05-07 22:00:00,SOL/UST,79.311,79.87,78.169,78.756,1595.64360321,126993.14347711293
1651957200,2022-05-07 21:00:00,SOL/UST,81.213,81.284,78.915,78.915,479.03243182,38363.51626244765
1651953600,2022-05-07 20:00:00,SOL/UST,81.467,81.569,80.86,81.213,162.19163326,13159.22124368494
1651950000,2022-05-07 19:00:00,SOL/UST,81.659,81.94,81.659,81.681,13.0045,1063.0637056
1651946400,2022-05-07 18:00:00,SOL/UST,81.559,83.083,81.509,81.91,684.39682777,56442.70573568397
1651942800,2022-05-07 17:00:00,SOL/UST,81.837,82.11,81.376,81.525,395.6695,32284.5182012
1651939200,2022-05-07 16:00:00,SOL/UST,82.126,82.449,81.589,81.857,556.75656505,45687.38845174515
1651935600,2022-05-07 15:00:00,SOL/UST,81.999,82.16,81.729,82.154,214.8818084,17606.57679592936
1651932000,2022-05-07 14:00:00,SOL/UST,81.493,81.999,81.386,81.999,232.23027816,18960.34937670805
1651928400,2022-05-07 13:00:00,SOL/UST,81.539,81.565,80.945,81.057,502.24349318,40797.26074828864
1651924800,2022-05-07 12:00:00,SOL/UST,81.945,82.331,81.579,81.675,208.58821112,17040.69775004483
1651921200,2022-05-07 11:00:00,SOL/UST,81.55,82,81.472,81.867,55.33377212,4525.10273230059
1651917600,2022-05-07 10:00:00,SOL/UST,80.905,81.876,80.905,81.368,269.79089264,21976.08534785034
1651914000,2022-05-07 09:00:00,SOL/UST,81.134,81.134,80.86,81.055,35.05964452,2841.33047683708
1651910400,2022-05-07 08:00:00,SOL/UST,80.546,81.597,80.499,81.327,217.88387744,17603.80239289504
1651906800,2022-05-07 07:00:00,SOL/UST,79.758,80.468,79.591,80.468,131.0067,10509.012351
1651903200,2022-05-07 06:00:00,SOL/UST,80.641,80.641,79.878,79.878,73.2281,5885.3762286
1651899600,2022-05-07 05:00:00,SOL/UST,79.31,80.813,79.168,80.813,218.7582,17534.5824635
1651896000,2022-05-07 04:00:00,SOL/UST,80.443,80.443,79.349,79.431,408.277775,32656.0769219
1651892400,2022-05-07 03:00:00,SOL/UST,81.177,81.177,80.475,80.497,125.7096,10146.0785322
1651888800,2022-05-07 02:00:00,SOL/UST,81.649,81.649,81.076,81.2,61.04397237,4967.54689078072
1651885200,2022-05-07 01:00:00,SOL/UST,81.722,81.763,81.277,81.724,132.09782169,10759.73528806123
1651881600,2022-05-07 00:00:00,SOL/UST,81.756,82.954,80.784,81.716,715.04798892,58599.45748102547
1651878000,2022-05-06 23:00:00,SOL/UST,82.189,82.265,81.589,81.614,175.69414239,14406.46616073632
1651874400,2022-05-06 22:00:00,SOL/UST,82.054,82.44,81.599,82.189,286.36809792,23517.82019833029
1651870800,2022-05-06 21:00:00,SOL/UST,82.309,82.458,81.589,81.885,112.70471636,9263.92418274428
1651867200,2022-05-06 20:00:00,SOL/UST,81.914,82.354,81.314,82.354,75.00895739,6125.72267204446
1651863600,2022-05-06 19:00:00,SOL/UST,81.455,82.385,80.88,81.859,660.39042686,53930.56464099948
